video;frame_idx;num_frames;gt_label;NoTemp (X);Temp_Skip_module;Temp_Eager
MPIICooking2__lb_none__s36-d70-cam-002.avi;2966;7055;none;fire;fire;fire
MPIICooking2__lb_none__s36-d70-cam-002.avi;2967;7055;none;fire;fire;fire
MPIICooking2__lb_none__s36-d70-cam-002.avi;2968;7055;none;fire;fire;fire
MPIICooking2__lb_none__s36-d70-cam-002.avi;2969;7055;none;fire;fire;fire
MPIICooking2__lb_none__s36-d70-cam-002.avi;3008;7055;none;fire;fire;fire
MPIICooking2__lb_none__s36-d70-cam-002.avi;3016;7055;none;fire;fire;fire
MPIICooking2__lb_none__s36-d70-cam-002.avi;3017;7055;none;fire;fire;fire
MPIICooking2__lb_none__s36-d70-cam-002.avi;3018;7055;none;fire;fire;fire
MPIICooking2__lb_none__s36-d70-cam-002.avi;6794;7055;none;fire;fire;fire
ustc__lb_none__train-14.avi;600;961;none;smokeonly;smokeonly;smokeonly
ustc__lb_none__train-14.avi;642;961;none;smokeonly;smokeonly;smokeonly
ustc__lb_none__train-14.avi;643;961;none;smokeonly;smokeonly;smokeonly
ustc__lb_none__train-14.avi;707;961;none;smokeonly;smokeonly;smokeonly
