experiment;Combined_Score;metric_recall (tpr);metric_fpr (false alarm rate);skip_rate;recall_retention;far_reduction_norm;w_S;w_F;w_R;delta_R;metric_accuracy;metric_f1_score;metric_fps;metric_precision;skip_proc.name;skip_proc.params.scale_factor;skip_proc.params.block_size_orig;skip_proc.params.block_ratio_th;skip_proc.params.motion.name;skip_proc.params.motion.params.diff_frame_th;skip_proc.params.motion.params.impact_plus_one;skip_proc.params.motion.params.mask_th;skip_proc.params.motion.params.max_val;skip_proc.params.motion.params.decay
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__53d45bfd5007__20260331.203242_per_frame;0.17731779284935104;0.939225733280182;0.0073503674939274;0.101435;0.5751917362213246;0.007092228025430488;0.6;0.2;0.2;0.01;0.981780171394348;0.9544963836669922;23.96590614318848;0.9702718257904052;motion_only_block_skip_proc;1.0;16.0;0.05;acc_motion_det.AccMotionDet;3.0;5.0;10.0;35.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__8d7d8d05ec47__20260331.203242_per_frame;0.1770817217119845;0.9408016204833984;0.0073678684420883;0.0493;0.7327804565429688;0.004728152016953697;0.6;0.2;0.2;0.01;0.9820868372917176;0.95529967546463;23.08758544921875;0.9702515602111816;motion_only_block_skip_proc;1.0;16.0;0.05;acc_motion_det.AccMotionDet;5.0;5.0;5.0;15.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__7da5b7c7571d__20260331.203242_per_frame;0.1723879217119845;0.9408016204833984;0.0073678684420883;0.04147700000000001;0.7327804565429688;0.004728152016953697;0.6;0.2;0.2;0.01;0.9820868372917176;0.95529967546463;22.918119430541992;0.9702515602111816;motion_only_block_skip_proc;1.0;16.0;0.05;acc_motion_det.AccMotionDet;5.0;5.0;5.0;25.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__87564d7aab33__20260331.203242_per_frame;0.1709071217119845;0.9408016204833984;0.0073678684420883;0.039009;0.7327804565429688;0.004728152016953697;0.6;0.2;0.2;0.01;0.9820868372917176;0.95529967546463;22.854942321777344;0.9702515602111816;motion_only_block_skip_proc;1.0;16.0;0.05;acc_motion_det.AccMotionDet;5.0;5.0;5.0;35.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__122d08f68098__20260331.203242_per_frame;0.16612502854181627;0.94087016582489;0.0073678684420883;0.028754;0.7396349906921276;0.004728152016953697;0.6;0.2;0.2;0.01;0.982100784778595;0.9553360342979432;22.546329498291016;0.9702536463737488;motion_only_block_skip_proc;1.0;16.0;0.1;acc_motion_det.AccMotionDet;3.0;5.0;5.0;15.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__e0015b0c8fd3__20260331.203242_per_frame;0.16506422854181627;0.94087016582489;0.0073678684420883;0.026986;0.7396349906921276;0.004728152016953697;0.6;0.2;0.2;0.01;0.982100784778595;0.9553360342979432;22.49908447265625;0.9702536463737488;motion_only_block_skip_proc;1.0;16.0;0.1;acc_motion_det.AccMotionDet;3.0;5.0;5.0;25.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__0dc3f5e4dd7d__20260331.203242_per_frame;0.16462322854181627;0.94087016582489;0.0073678684420883;0.026251000000000003;0.7396349906921276;0.004728152016953697;0.6;0.2;0.2;0.01;0.982100784778595;0.9553360342979432;22.44997787475586;0.9702536463737488;motion_only_block_skip_proc;1.0;16.0;0.1;acc_motion_det.AccMotionDet;3.0;5.0;5.0;35.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__bd7397ca2aeb__20260331.203239_per_frame;0.16042322854181626;0.94087016582489;0.0073678684420883;0.019251;0.7396349906921276;0.004728152016953697;0.6;0.2;0.2;0.01;0.982100784778595;0.9553360342979432;23.34364318847656;0.9702536463737488;motion_only_block_skip_proc;0.5;16.0;0.05;acc_motion_det.AccMotionDet;3.0;5.0;5.0;15.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__b913865a01f5__20260331.203239_per_frame;0.15986642854181626;0.94087016582489;0.0073678684420883;0.018323;0.7396349906921276;0.004728152016953697;0.6;0.2;0.2;0.01;0.982100784778595;0.9553360342979432;23.25460624694824;0.9702536463737488;motion_only_block_skip_proc;0.5;16.0;0.05;acc_motion_det.AccMotionDet;3.0;5.0;5.0;25.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__f1e368035c58__20260331.203239_per_frame;0.15975122854181625;0.94087016582489;0.0073678684420883;0.018130999999999998;0.7396349906921276;0.004728152016953697;0.6;0.2;0.2;0.01;0.982100784778595;0.9553360342979432;23.20802497863769;0.9702536463737488;motion_only_block_skip_proc;0.5;16.0;0.05;acc_motion_det.AccMotionDet;3.0;5.0;5.0;35.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__4d38640dd368__20260331.203242_per_frame;0.15147662854181626;0.94087016582489;0.0073678684420883;0.00434;0.7396349906921276;0.004728152016953697;0.6;0.2;0.2;0.01;0.982100784778595;0.9553360342979432;22.009775161743164;0.9702536463737488;motion_only_block_skip_proc;1.0;16.0;0.05;acc_motion_det.AccMotionDet;3.0;5.0;5.0;15.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__7f7f2629e958__20260331.203242_per_frame;0.15118262854181627;0.94087016582489;0.0073678684420883;0.00385;0.7396349906921276;0.004728152016953697;0.6;0.2;0.2;0.01;0.982100784778595;0.9553360342979432;21.97980499267578;0.9702536463737488;motion_only_block_skip_proc;1.0;16.0;0.05;acc_motion_det.AccMotionDet;3.0;5.0;5.0;25.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__f038fde02844__20260331.203242_per_frame;0.15113042854181627;0.94087016582489;0.0073678684420883;0.0037630000000000003;0.7396349906921276;0.004728152016953697;0.6;0.2;0.2;0.01;0.982100784778595;0.9553360342979432;21.958724975585938;0.9702536463737488;motion_only_block_skip_proc;1.0;16.0;0.05;acc_motion_det.AccMotionDet;3.0;5.0;5.0;35.0;1.0
